accession	CONTRL_SAMPLE250	CONTRL_SAMPLE251	CONTRL_SAMPLE253	CONTRL_SAMPLE254	CONTRL_SAMPLE255	CONTRL_SAMPLE256	NR_SAMPLE258	NR_SAMPLE259	NR_SAMPLE260	NR_SAMPLE261	NR_SAMPLE264	NR_SAMPLE265
0	375.5492399	254.8493803	391.201125	437.4416231	348.3942124	401.9455882	510.700016	531.9049802	587.7728501	549.7774963	561.4244872	546.5802692
1	306.9652367	478.0799093	448.1036907	402.9653215	392.8977337	368.0872928	609.8794407	491.2825071	542.3033182	511.5411567	531.3780096	485.2944117
2	199.8990105	203.9905536	301.7385128	374.1351195	210.7974551	226.7488578	489.7587895	354.0311865	425.8516337	350.282425	449.4984892	319.5287813
3	379.4842826	316.6612395	370.7228838	345.0220091	338.3931891	258.8852317	536.8907209	356.4658306	524.3016624	460.8165278	480.8353884	468.4719184
4	2013.451891	2181.368663	2298.200324	2121.499018	2073.15578	2084.75859	2410.574336	2436.136862	2300.914457	2247.020611	2378.870131	2040.031498
5	1172.942231	1454.553028	1586.207326	1277.177883	1462.145187	1401.450797	1845.523535	1650.630205	1598.430055	1657.609321	1598.07629	1471.618862
6	2883.871896	2600.987996	2342.04947	2479.830428	2796.989832	2466.289778	1817.326355	2282.887768	2147.718098	2296.36737	2195.524457	2453.702417
7	1156.948444	1083.44872	990.4465908	844.5219604	987.1569554	962.063976	715.1120531	829.6471995	762.1308579	831.305767	803.6132106	787.1551125
8	1514.779109	1272.095086	1433.952061	946.4182215	1709.097165	1454.814794	618.6690399	989.6876314	848.1535995	1153.300164	768.4995071	1253.401416
9	1931.259256	2013.40502	2345.575107	1918.79148	2048.211062	2073.178856	2183.276646	2324.174254	2220.08443	2027.066873	2200.255228	2305.291396
10	1712.869123	1513.945275	1520.509101	1389.457972	1585.736597	1640.301178	1310.902995	1511.818731	1361.579192	1387.990685	1407.523511	1299.818833
11	1393.246669	1288.717441	1135.656066	1077.20984	1192.006861	1114.367887	875.6200319	1120.587722	873.1911944	955.3838752	984.6997906	1132.105125
12	2247.105305	2504.624078	2629.309274	2432.659461	2424.162854	2359.476591	3273.704495	2896.159251	3002.132067	2926.637158	2657.916895	2666.815121
13	2137.358083	2365.325761	2569.367281	2288.47042	2279.8136	2310.149029	2990.904225	2809.068333	2770.454697	2590.868336	2493.757159	2489.784164
14	788.4783189	720.0646372	642.7902861	652.1258813	736.4209249	625.8323011	504.239458	514.6254915	485.2600816	578.8930606	498.962697	576.6549401
15	1805.364166	1663.286426	1856.339102	1786.836698	1851.169593	1828.69924	1770.525379	1859.379534	2053.304875	1924.917276	1948.63541	1959.082993
16	465.2992747	527.5262927	608.3613599	607.4358836	549.166992	578.75467	792.1238712	717.2913452	691.9632808	598.8156814	744.8811733	596.1385265
17	647.7443662	755.3644555	782.667017	848.2996158	619.8259492	926.0260276	1056.514743	960.2647189	959.8027596	844.4989596	1032.649633	884.033907
18	4253.294931	5326.006723	5919.88123	5957.95659	5541.442762	5842.193631	7006.064756	7631.56658	6570.519017	5882.66729	6872.978618	5732.92951
19	1061.285944	1088.122599	1160.271663	995.0411602	1189.361089	1199.346677	1337.79555	1354.097434	1205.554681	1319.941954	1256.66244	1178.387457
20	510.6550271	601.163016	663.0488508	632.3612727	513.5066364	634.7669514	821.1435689	756.4979305	731.497733	616.3246581	749.5611912	681.8153148
21	651.3937788	658.7481815	683.4015765	618.6827994	649.2874752	586.5200563	875.7990396	708.0690357	708.8029128	797.0981139	718.5396143	780.6702623
22	452.4558995	369.7712939	601.3798787	180.5435792	691.5106186	448.6817576	126.1787219	300.6462026	195.1784572	313.8551892	183.8533035	363.7672454
23	151.2017561	198.9017421	190.5448373	185.3894737	192.8649508	154.000345	417.6003175	314.7595021	345.7516498	349.1556178	293.2892226	307.6927236
24	982.2087532	991.5345996	1043.885734	1097.778042	1026.447549	1099.660781	1416.340602	1245.613158	1146.607173	1093.553976	1123.358415	1065.349281
25	202.1311442	235.63222	272.5238075	304.4899682	268.3705475	271.6218732	453.2876864	485.1797984	393.5234316	477.3150133	463.783515	427.7155738
26	2253.673491	2199.359456	2150.432499	2095.593019	1927.083645	2132.997994	2278.260138	2412.428303	2409.040187	2430.838221	2403.777204	1939.481035
27	0	0	0	0	0	0	158.1200258	134.5410853	289.9096899	60.62080102	158.1441861	149.9410853
28	436.0731703	611.4220993	626.891027	430.4531519	601.4733367	475.7942496	811.5382609	722.2293331	738.4291634	765.7059378	800.2308574	662.7702397
29	715.6367237	900.1032562	1055.863483	894.6637649	958.0645026	890.3051676	1160.740896	1098.035306	951.1683	1234.085052	1127.002295	1000.344933
30	517.5949108	522.0857507	708.0148274	525.1531458	463.0819315	433.1102164	919.5040447	707.4842524	875.2371853	837.7765439	671.9331512	743.4569721
31	334.4796547	465.7452642	489.7175713	381.6633429	451.9561519	395.3552325	745.3229713	581.5290633	589.1322257	510.6342611	540.8548454	464.222767
32	1922.025226	1818.05681	1849.633605	1726.38098	1692.471074	2004.20134	3093.28645	2519.891721	2201.582206	2119.742672	2381.388104	1885.170681
33	933.3462052	898.9098706	961.5142491	863.3679548	827.2608535	924.8125218	1595.151447	1205.466188	1102.467753	1119.915786	1166.881029	960.5989853
34	573.1087278	654.374643	801.7716849	623.3205978	792.5430537	785.5045494	886.7432946	991.8725267	768.2990498	751.3949581	792.4889671	882.1799419
35	1004.540176	1032.209054	1080.704491	1051.767858	924.9060336	1026.232349	1937.231941	1424.528413	1328.933796	1347.538087	1236.031081	1142.336374
36	706.5936628	624.5996194	730.0894801	615.1383785	579.5483226	698.1932289	1271.781916	1007.25042	921.9305821	935.6906781	827.2476935	762.1559597
37	649.2065302	660.6286549	701.6595538	594.2892542	566.0197297	632.1617117	1283.73945	917.6458607	931.0613647	976.9760186	827.4817954	730.7817778
38	1307.319691	975.2926846	1003.182706	953.0766326	1065.819669	1291.228418	1611.845891	1552.883704	1181.629746	1403.279589	1388.703954	1278.777598
39	1198.252665	1249.077781	1225.863882	1027.564026	1033.032013	1088.565577	902.6710547	1078.145864	960.0615835	949.2261852	1026.86255	908.1142036
40	110.5286317	247.5643966	257.3661242	128.9042097	218.4958607	260.7481324	415.0810989	381.3581647	313.3342661	262.5738972	522.6854436	364.6732654
41	1742.965549	1680.246811	1829.93349	1601.047282	1761.303349	1592.800506	1557.377328	1340.402959	1442.003735	1570.775918	1562.640373	1367.744939
42	321.2174338	494.7503069	515.0042506	465.7811096	427.3862249	549.9230367	546.3082853	714.5576718	625.5242981	523.974799	585.927929	540.1040771
43	700.0354605	919.9314431	974.0359515	852.3610815	806.8240884	803.3488794	1309.165186	1191.362121	1254.271515	1183.501613	1140.108734	938.8973817
44	545.6158734	772.0927591	859.2817843	726.6021386	694.3918005	637.6658153	1071.751888	1043.08057	1032.437097	1007.383392	951.2761676	840.666597
